,model,score,task,category,question_id
0,gemma-3-12b-it,100.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
1,gemma-3-1b-it,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
2,gemma-3-4b-it,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
3,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
4,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
5,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
6,mistral-24b,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
7,mistral-7b,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
8,qwen2.5-32b,100.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
9,qwen2.5-3b,0.0,AMPS_Hard,math,0036922c19213c53a71203a1c4f9b42892eaf0a545e85899771a98142732d7bc
10,gemma-3-12b-it,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
11,gemma-3-1b-it,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
12,gemma-3-4b-it,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
13,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
14,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
15,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
16,mistral-24b,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
17,mistral-7b,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
18,qwen2.5-32b,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
19,qwen2.5-3b,0.0,AMPS_Hard,math,059c609b46f7c681782c32d9a97514b357d3f468ab9cdffab45631e18aac9059
20,gemma-3-12b-it,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
21,gemma-3-1b-it,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
22,gemma-3-4b-it,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
23,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
24,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
25,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
26,mistral-24b,100.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
27,mistral-7b,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
28,qwen2.5-32b,100.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
29,qwen2.5-3b,0.0,AMPS_Hard,math,05db4067b068c41f0b33744b96818a21b35eacdbd3ea11d3bbc77fa36aa93b6f
30,gemma-3-12b-it,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
31,gemma-3-1b-it,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
32,gemma-3-4b-it,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
33,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
34,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
35,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
36,mistral-24b,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
37,mistral-7b,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
38,qwen2.5-32b,0.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
39,qwen2.5-3b,100.0,AMPS_Hard,math,080b4d03294a1de52d81d69ceeb61a54cb510da3eab70a73721faf32e0406ff3
40,gemma-3-12b-it,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
41,gemma-3-1b-it,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
42,gemma-3-4b-it,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
43,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
44,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
45,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
46,mistral-24b,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
47,mistral-7b,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
48,qwen2.5-32b,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
49,qwen2.5-3b,0.0,AMPS_Hard,math,0850642fb0e65819176317438122e4ae23fee2ed44f3758ce653cdb944b947c3
50,gemma-3-12b-it,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
51,gemma-3-1b-it,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
52,gemma-3-4b-it,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
53,llama-3.1-8b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
54,llama-3.2-1b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
55,llama-3.2-3b-instruct,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
56,mistral-24b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
57,mistral-7b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
58,qwen2.5-32b,0.0,AMPS_Hard,math,08c98c31097ac2d060c40d72045738c275e9feaab86974666e87557c1b86fb30
